Wavenumbercm-1,01:21:00
4000,-0.0145215370419405
3996,-0.0147588078483169
3992,-0.0148145537352862
3988,-0.0149778322133753
3984,-0.0152935833837337
3980,-0.0155327589861797
3976,-0.0154893441725503
3972,-0.0151481844492457
3968,-0.0147148220121551
3964,-0.0145549581101124
3960,-0.0148727323170123
3956,-0.0154252980960059
3952,-0.0157080769621598
3948,-0.0154891460728496
3944,-0.0150182155876047
3940,-0.0145987110219439
3936,-0.0142367255159898
3932,-0.0138432605472574
3928,-0.01352259409976
3924,-0.0134712286639012
3920,-0.0137013046814849
3916,-0.0139641079977983
3912,-0.0139734031495153
3908,-0.0136385420560328
3904,-0.013158088248503
3900,-0.0129414285234241
3896,-0.013183832099846
3892,-0.0137168034490461
3888,-0.0143343526351509
3884,-0.014860773898802
3880,-0.0150305380352904
3876,-0.0146688598850526
3872,-0.0140048493596349
3868,-0.0135526546096407
3864,-0.0134423022843092
3860,-0.0132877014589179
3856,-0.0129926320045329
3852,-0.0130499465797083
3848,-0.0135419686169655
3844,-0.0136883850543125
3840,-0.0130429654578575
3836,-0.012290974117999
3832,-0.0123370456323679
3828,-0.0128281499813158
3824,-0.0129502736327443
3820,-0.0128371581197188
3816,-0.0132047824480213
3812,-0.0138647464708234
3808,-0.0140824997656185
3804,-0.0140203679684965
3800,-0.014671021029384
3796,-0.0161207560072399
3792,-0.0173280764374941
3788,-0.0177658213946693
3784,-0.0176741968587498
3780,-0.0172807030690822
3776,-0.0164443788756163
3772,-0.0153874161497865
3768,-0.0150493818610312
3764,-0.0158615313329718
3760,-0.0168575982134855
3756,-0.0168173090401843
3752,-0.0155951092394533
3748,-0.0141904713250801
3744,-0.0133389643894416
3740,-0.0128278044717216
3736,-0.0125844836372611
3732,-0.0128541445241027
3728,-0.0134001252065177
3724,-0.0136731668623898
3720,-0.013484896174188
3716,-0.0129519914511815
3712,-0.0122006326516106
3708,-0.0114729497862143
3704,-0.0110658551421876
3700,-0.0108748337468152
3696,-0.0105391754777874
3692,-0.0101620974966565
3688,-0.0103931735742202
3684,-0.0113308969919509
3680,-0.0121219264327391
3676,-0.0121544737302661
3672,-0.0120176047924067
3668,-0.0126330982004248
3664,-0.0136067875188242
3660,-0.0140317497355103
3656,-0.0137429113307009
3652,-0.0134305471083688
3648,-0.013791951846308
3644,-0.01449292526962
3640,-0.0149320775538588
3636,-0.0151226505689982
3632,-0.0152873298925724
3628,-0.0153733077642819
3624,-0.0151900112216779
3620,-0.0148585564084702
3616,-0.0148906947471525
3612,-0.0158444867440544
3608,-0.0177512145519716
3604,-0.0199910675942225
3600,-0.0218776979865351
3596,-0.0229750239328191
3592,-0.0230935736842741
3588,-0.0225665337765078
3584,-0.0222005085881688
3580,-0.0225197946192255
3576,-0.0232959781340083
3572,-0.0241114078120137
3568,-0.0249205115251219
3564,-0.0259112797457213
3560,-0.0269615018975345
3556,-0.0276050993579994
3552,-0.027706566964772
3548,-0.0276578074187536
3544,-0.0278219747922609
3540,-0.028120589090552
3536,-0.0284545490539485
3532,-0.0290357291867339
3528,-0.0298782327209949
3524,-0.0305292383867618
3520,-0.0307198902069176
3516,-0.0307790732300067
3512,-0.0310421422027085
3508,-0.0313348023418264
3504,-0.0314137828438848
3500,-0.0315786304956089
3496,-0.0322462030229225
3492,-0.0332280300015788
3488,-0.0339815323912918
3484,-0.0343305147885835
3480,-0.0344516939810447
3476,-0.0344128993546022
3472,-0.0341870040944047
3468,-0.0339749896049071
3464,-0.0340136810386649
3460,-0.0340335753180101
3456,-0.0333513140251233
3452,-0.0316173931907241
3448,-0.0292237559586688
3444,-0.026923390357112
3440,-0.0252101023459653
3436,-0.0243041727220579
3432,-0.0243590415878841
3428,-0.0253263179564194
3424,-0.0268607778900228
3420,-0.0285045485352596
3416,-0.0298845743651587
3412,-0.0307621999061076
3408,-0.0311157086353728
3404,-0.0311838907985885
3400,-0.0312839047908042
3396,-0.0316218466372194
3392,-0.0321592200469019
3388,-0.0324832644165224
3384,-0.0319624249065335
3380,-0.0303564643746639
3376,-0.0282039136349695
3372,-0.0264194914335172
3368,-0.0254639826944118
3364,-0.0250128755666688
3360,-0.0244367489342584
3356,-0.0234170703159114
3352,-0.0220805522174869
3348,-0.020813849924199
3344,-0.0199965108206997
3340,-0.019664741998107
3336,-0.0193833708230247
3332,-0.0187378264709946
3328,-0.0179626700730882
3324,-0.0177008103920667
3320,-0.0180820830118679
3316,-0.0184122871333559
3312,-0.0180553682244565
3308,-0.0172298614798089
3304,-0.0165839851989857
3300,-0.0164201354587912
3296,-0.0166593462652136
3292,-0.0172317355483456
3288,-0.0179940502390687
3284,-0.0184758725532329
3280,-0.0183126279444855
3276,-0.017812942078783
3272,-0.0176418011981232
3268,-0.01795979808999
3264,-0.0182462406772329
3260,-0.0180437759984195
3256,-0.017504172172963
3252,-0.0170297951854367
3248,-0.0166645618061837
3244,-0.0161111868055812
3240,-0.0152136701573484
3236,-0.014193627743537
3232,-0.0133818405203566
3228,-0.0128562065403709
3224,-0.0124153219674627
3220,-0.0118970936676843
3216,-0.011398836808106
3212,-0.0110741412464542
3208,-0.01085719826351
3204,-0.0105477994616215
3200,-0.0100784960171753
3196,-0.00949630043962195
3192,-0.00875762715671228
3188,-0.00784259508881378
3184,-0.00700611648935611
3180,-0.00662332696259355
3176,-0.00663444076470651
3172,-0.00645241836013033
3168,-0.00564570098525738
3164,-0.00443570147885718
3160,-0.00333077900750755
3156,-0.00248410161369007
3152,-0.00160260044352636
3148,-0.000411579237271409
3144,0.00103515135007227
3140,0.00250199450699122
3136,0.00388467618951261
3132,0.00533988862685692
3128,0.00717138888526239
3124,0.00967968391051531
3120,0.0130893441740753
3116,0.0174300120164413
3112,0.02231625252715
3108,0.0268706144928347
3104,0.0303875370841436
3100,0.0332403567045103
3096,0.0367262497121086
3092,0.0415782589158315
3088,0.0466673158404735
3084,0.0497420823915062
3080,0.0497901711159942
3076,0.0484161094018689
3072,0.048342664923026
3068,0.0507595496887344
3064,0.0544881523658051
3060,0.0573907795384715
3056,0.0584173336419495
3052,0.0584042853995458
3048,0.0594483065901759
3044,0.0636237964767378
3040,0.0714883257786029
