Wavenumbercm-1,01:14:10
4000,-0.0109679641895036
3996,-0.0114059544339957
3992,-0.0120193619440478
3988,-0.0127229684379244
3984,-0.0132190662047407
3980,-0.01346370575168
3976,-0.0137036609970933
3972,-0.0139198579039056
3968,-0.0137149889292705
3964,-0.0129791916206385
3960,-0.0121792788527658
3956,-0.0117666801869548
3952,-0.011691899672743
3948,-0.0116530434877898
3944,-0.0115891030867162
3940,-0.0116225240237684
3936,-0.0116603749486136
3932,-0.0113766366660004
3928,-0.0106342717280945
3924,-0.0097829864330298
3920,-0.009437340583767
3916,-0.00978776559224855
3912,-0.0103676083088527
3908,-0.010670835645007
3904,-0.0106541279937321
3900,-0.0106700697377137
3896,-0.0108436472145126
3892,-0.0109135096338791
3888,-0.0108021280659509
3884,-0.0107290940104523
3880,-0.0106920635883983
3876,-0.0103234415542977
3872,-0.00952742434146927
3868,-0.00881050448044365
3864,-0.00858772668421844
3860,-0.00869111574979816
3856,-0.00891969422486666
3852,-0.00927389223951062
3848,-0.00940930276774858
3844,-0.00883090299469412
3840,-0.00792374740740326
3836,-0.00795451903718047
3832,-0.00922282132627117
3828,-0.0102654926350538
3824,-0.0100811756145082
3820,-0.00941594201853486
3816,-0.00957338054286253
3812,-0.0103249290797635
3808,-0.0107321926873309
3804,-0.0110071296450838
3800,-0.0120637946422616
3796,-0.0135848921656763
3792,-0.0144500702168923
3788,-0.0145987571321393
3784,-0.0147258053150335
3780,-0.0150180781811718
3776,-0.014917200538275
3772,-0.0142406060370121
3768,-0.0135699447552009
3764,-0.0132054966361775
3760,-0.0126103018155598
3756,-0.0114263410494593
3752,-0.0102802457686629
3748,-0.0100626504401562
3744,-0.0104964783208604
3740,-0.0106386867852421
3736,-0.0102635208064353
3732,-0.00973704832441951
3728,-0.0094684801969439
3724,-0.00973504330986715
3720,-0.010456794898675
3716,-0.0110563867945868
3712,-0.0109167550107932
3708,-0.0102239685066148
3704,-0.00960932118008453
3700,-0.00906318591626534
3696,-0.00835223815883308
3692,-0.0080007184304613
3688,-0.00866454173525055
3684,-0.00956829711858888
3680,-0.00933214801186737
3676,-0.00818905422916837
3672,-0.00811748412737622
3668,-0.00979017210436012
3664,-0.0112360802296052
3660,-0.0110491589862076
3656,-0.00962971429104332
3652,-0.00854155732140656
3648,-0.00909442901149801
3644,-0.0108543877326699
3640,-0.0125876137522076
3636,-0.0136839341911217
3632,-0.0142245369224062
3628,-0.0147449141085645
3624,-0.0156238512933878
3620,-0.0163774450927933
3616,-0.0163619756083494
3612,-0.0159916418445908
3608,-0.0164458282820185
3604,-0.0180947886961695
3600,-0.0200982980821577
3596,-0.0215632574139845
3592,-0.0221628765995885
3588,-0.0220122748210396
3584,-0.0215505839761588
3580,-0.0214083603764059
3576,-0.0218820495969089
3572,-0.0226623140957779
3568,-0.0232334874859474
3564,-0.023533313031181
3560,-0.0238907220935743
3556,-0.024297794824677
3552,-0.0244729612330364
3548,-0.0244013472369579
3544,-0.0242453316481914
3540,-0.0240307382669849
3536,-0.023900774906603
3532,-0.0243692263444437
3528,-0.0256801329939537
3524,-0.0271906700192919
3520,-0.0281263046510485
3516,-0.0286258797427384
3512,-0.0292457191470886
3508,-0.0300120434558155
3504,-0.0306067377663691
3500,-0.0310390967041689
3496,-0.0313729755493531
3492,-0.0313080567899194
3488,-0.0307145750013037
3484,-0.030194547567693
3480,-0.0304643952949608
3476,-0.0312609565623509
3472,-0.0317960846701046
3468,-0.0319873132349952
3464,-0.0321960074821006
3460,-0.0321343053872059
3456,-0.0310817524158532
3452,-0.0290851293297733
3448,-0.0270435986666501
3444,-0.0255427092092561
3440,-0.0243976296168197
3436,-0.0236299375171519
3432,-0.0237801930469402
3428,-0.0249168875492072
3424,-0.0261872600301805
3420,-0.0268271635482628
3416,-0.0270044122631379
3412,-0.0272601032532069
3408,-0.0276022786340588
3404,-0.027626177299123
3400,-0.0272043359524227
3396,-0.0267376452523036
3392,-0.0266962954587888
3388,-0.0270090740788824
3384,-0.0270323475380848
3380,-0.0261807076124878
3376,-0.0245909834881152
3372,-0.0230536789622914
3368,-0.0221773066567322
3364,-0.0218200055127234
3360,-0.0214218013091739
3356,-0.0206209349208239
3352,-0.0193930830932885
3348,-0.0179542298362882
3344,-0.0167659047351237
3340,-0.0163193384811843
3336,-0.0165315839401342
3332,-0.0166602225176177
3328,-0.0162181275999162
3324,-0.0155898499038027
3320,-0.0153320931900487
3316,-0.0153096411010197
3312,-0.015069724777904
3308,-0.0147102016437685
3304,-0.014621784681942
3300,-0.0146959251571159
3296,-0.0145731262584153
3292,-0.0144458193004116
3288,-0.0147902667403149
3284,-0.0153812216711597
3280,-0.0154654515513776
3276,-0.0150296154558534
3272,-0.0149721370858084
3268,-0.0157028577640293
3264,-0.0163826089523669
3260,-0.0160656631175523
3256,-0.0149364965609145
3252,-0.0138662291611211
3248,-0.0131606889797207
3244,-0.0124559557245456
3240,-0.0116303582881607
3236,-0.0110894805935962
3232,-0.0110121766972672
3228,-0.0109240851980542
3224,-0.0103197128847219
3220,-0.00936713614553691
3216,-0.00861880691589117
3212,-0.00822683121267607
3208,-0.00786427246825259
3204,-0.00732020137117025
3200,-0.00674358101903171
3196,-0.0062187456053859
3192,-0.00548632891827441
3188,-0.00437866149116428
3184,-0.0032344265325711
3180,-0.00253298829116203
3176,-0.00227572759864325
3172,-0.00205821597177452
3168,-0.00166007345632593
3164,-0.00117047353349119
3160,-0.000595876646397518
3156,0.000208684509361514
3152,0.0012502043746975
3148,0.00239615749822034
3144,0.00368841544330915
3140,0.00529583916050539
3136,0.00711316289511085
3132,0.00877184903058512
3128,0.0102180333525633
3124,0.0120416483177033
3120,0.0150101020922815
3116,0.01940581705209
3112,0.0248339129045413
3108,0.0303833416177824
3104,0.0351825707213121
3100,0.0391950817192861
3096,0.0434541470737967
3092,0.0489606696137375
3088,0.0549442736678726
3084,0.0588542473007257
3080,0.0589763514767927
3076,0.0569352088269293
3072,0.0564676596949328
3068,0.0596083891623674
3064,0.0647801349682369
3060,0.0685803798283742
3056,0.0692389350725362
3052,0.0680110410705087
3048,0.0677591756005171
3044,0.0709151900534926
3040,0.0780837278432001
3036,0.0875631587897097
3032,0.0959826089558494
3028,0.100447225226018
3024,0.101022122190846
3020,0.100749627706803
3016,0.103258857110316
3012,0.110233582104209
3008,0.120316919518824
3004,0.130068956933672
3000,0.136014920886351
2996,0.136159534141247
2992,0.130104795842706
2988,0.11861050482549
2984,0.103957356367031
2980,0.0896601384646213
2976,0.0784953549371792
2972,0.0719759727501279
2968,0.0723169103505712
2964,0.0825060687279842
2960,0.101679437237982
2956,0.120516651577729
2952,0.125442724337349
2948,0.111824479615386
2944,0.0885082605234644
2940,0.0669541764446594
2936,0.0526264578022431
2932,0.0458176198407871
2928,0.0458065745735376
2924,0.0523919234652255
2920,0.0634383039382882
2916,0.0730020142815566
2912,0.0748382196017318
2908,0.0677539979908433
2904,0.0559181602106944
2900,0.0445875089221048
2896,0.0362076577406561
2892,0.030205607000417
2888,0.0254052642001878
2884,0.0216092854999427
2880,0.0190892089075853
2876,0.0176939845015023
2872,0.0171156356246017
2868,0.0174769035900344
2864,0.0189405432097925
2860,0.0208723077543799
2856,0.0219342048998254
2852,0.02133107755025
2848,0.0197497936043961
2844,0.0185176752065234
2840,0.0180786865236897
2836,0.0176669465682943
2832,0.0162574354158196
2828,0.013644759173434
2824,0.0105577184353561
2820,0.00783508722040846
2816,0.0057346926226484
2812,0.00411021735624387
2808,0.00290617142012557
2804,0.00212154551273182
2800,0.00148152806895467
2796,0.000561755694321312
2792,-0.000744977671277034
2788,-0.00214939320135439
2784,-0.00333324598117634
2780,-0.00415384696288091
2776,-0.0045708654102284
2772,-0.00468654353882867
2768,-0.00480173788070662
2764,-0.00512671116928095
2760,-0.00547669538384442
2756,-0.00551371596900084
2752,-0.00523245308644836
2748,-0.00494682503814756
2744,-0.00485840221848971
2740,-0.00491961434313952
2736,-0.00504674068628168
2732,-0.00517590561748803
2728,-0.00516209570241021
2724,-0.00491323413779267
2720,-0.00458808630167133
2716,-0.00438838183971677
2712,-0.00422494398108638
2708,-0.00387065237408617
2704,-0.00336541796826347
2700,-0.00297797536484084
2696,-0.00283456932624226
2692,-0.00288290455061369
2688,-0.00316250059654824
2684,-0.00377501779281522
2680,-0.00458482818887572
2676,-0.00525980473893198
2672,-0.00564570129228103
2668,-0.00585434822723033
2664,-0.0059985101820213
2660,-0.00610309387933811
2656,-0.00622173446686228
2652,-0.00636619845408684
2648,-0.00633856884932635
2644,-0.00595599501979319
2640,-0.00549029920355061
2636,-0.00545846491649461
2632,-0.00587125133991898
2628,-0.00618047823620408
2624,-0.00615413093132888
2620,-0.00626178013958901
2616,-0.00690764123848138
2612,-0.00776543349758726
2608,-0.00823589535208233
2604,-0.00815324952768779
2600,-0.00772559478088058
2596,-0.00726922367326374
2592,-0.00709309816562247
2588,-0.00722005750468914
2584,-0.00731132154771785
2580,-0.00731162818995947
2576,-0.00792183380868762
2572,-0.00983525640475279
2568,-0.0125603704029565
2564,-0.0147955773550383
2560,-0.0159937782405523
2556,-0.0164761935285888
2552,-0.0162489266335578
2548,-0.0151556143115619
2544,-0.0137370687768938
2540,-0.0127482348198152
2536,-0.012021552727
2532,-0.0110970223378094
2528,-0.0105432211394261
2524,-0.0108462189542973
2520,-0.0106947434609269
2516,-0.0086965624697315
2512,-0.00608978148139351
2508,-0.00532351038050306
2504,-0.00670258087537349
2500,-0.00846930520717657
2496,-0.0096338769959098
2492,-0.0104470754806914
2488,-0.0105918441050501
2484,-0.00965579460514245
2480,-0.0088257076724754
2476,-0.0096091304257922
2472,-0.0113751822776269
2468,-0.0121634521684148
2464,-0.011588372962957
2460,-0.0109129004976429
2456,-0.0107317592858302
2452,-0.0107472171709364
2448,-0.0112475636542402
2444,-0.0127940141444478
2440,-0.0146072590299714
2436,-0.0153867500182114
2432,-0.0154477655244684
2428,-0.0157989582154773
2424,-0.0159157607285351
2420,-0.0146729676942017
2416,-0.0126809828783268
2412,-0.0114016032626664
2408,-0.0108075472808889
2404,-0.00986200951361711
2400,-0.00877439581501708
2396,-0.00855958807288253
2392,-0.00897033896908046
2388,-0.00904225734668021
2384,-0.00896499053306925
2380,-0.00972010252906679
2376,-0.0113666818266506
2372,-0.0128674909402623
2368,-0.0138589335385449
2364,-0.0149753548296916
2360,-0.0151114387448207
2356,-0.0124306368375975
2352,-0.00887510940677134
2348,-0.00706767982292068
2344,-0.00723930125611742
2340,-0.00800188377977306
2336,-0.00808595000400716
2332,-0.00760443036839519
2328,-0.0069751276184547
2324,-0.00616031994403238
2320,-0.00558647843376262
2316,-0.00606189813911484
2312,-0.00728486513925659
2308,-0.00802301567469275
2304,-0.00823757021236994
2300,-0.0089218828718235
2296,-0.00989251452937019
2292,-0.0098932706164471
2288,-0.00882394840139829
2284,-0.00757935748915678
2280,-0.0054804990238261
2276,-0.000953735863221594
2272,0.00477441815047472
2268,0.00827742152937765
2264,0.00878956872147289
2260,0.00951812602901783
2256,0.0130953264740726
2252,0.0173662553940854
2248,0.0192646156975575
2244,0.0194272450821427
2240,0.0223890266802135
2236,0.0283028410565902
2232,0.0337240227892481
2228,0.0331157420569707
2224,0.0339916367986
2220,0.0448184949788913
2216,0.0587985771867211
2212,0.0638179340454113
2208,0.0673850347283304
2204,0.0793280315875742
2200,0.0875854928298684
2196,0.0812051977601864
2192,0.0865079569239773
2188,0.124571970663407
2184,0.174008863770504
2180,0.194687389713605
2176,0.20084776798615
2172,0.231259743611096
2168,0.272962441049376
2164,0.293081456135124
2160,0.301223932422024
2156,0.331676947316952
2152,0.331873203855105
2148,0.225164597959575
2144,0.126321207807023
2140,0.095298893076629
2136,0.0625438402341417
2132,0.0161083670022359
2128,-0.00447480929581773
2124,-0.00957708074967622
2120,-0.00973066970905719
2116,-0.00735170531559263
2112,-0.00512889027956124
2108,-0.00631146153515443
2104,-0.00891607414258764
2100,-0.0103022110612043
2096,-0.0111451334703319
2092,-0.015613884529799
2088,-0.0206893379049163
2084,-0.019681964276442
2080,-0.0141413334382769
2076,-0.00905939169955711
2072,-0.00131324075048101
2068,0.00972566817568543
2064,0.0242777921550681
2060,0.0455319671998507
2056,0.0733912501718046
2052,0.0876430042213837
2048,0.108065730582632
2044,0.173518995889801
2040,0.253287529640412
2036,0.230839678230491
2032,0.2175943978773
2028,0.322359524873886
2024,0.403521616078872
2020,0.29233086926424
2016,0.209799813186628
2012,0.255413849329581
2008,0.301883959873495
2004,0.220355364057929
2000,0.161236731039095
1996,0.193238255773348
1992,0.24100443742414
1988,0.201762329675521
1984,0.180115403429887
1980,0.266125123692561
1976,0.379694178146169
1972,0.282029763480091
1968,0.191703990096
1964,0.196159860004591
1960,0.178406136831406
1956,0.0934686526109289
1952,0.0548120162759229
1948,0.046763928440727
1944,0.0390173273707062
1940,0.0306240100454264
1936,0.0284678919677582
1932,0.0213208283128287
1928,0.0123500663581132
1924,0.0115763299539037
1920,0.0137002028263591
1916,0.0099548228839023
1912,0.00564913861480403
1908,0.00800525453653751
1904,0.0111315507907956
1900,0.00965523610199882
1896,0.00818624845652285
1892,0.0108246393319783
1888,0.0123108850972228
1884,0.00932117443212366
1880,0.00724838338089401
1876,0.00983532710468417
1872,0.011357473919954
1868,0.0079274295583941
1864,0.00497977703046712
1860,0.00730557642829011
1856,0.0103284539047682
1852,0.0101526961641151
1848,0.0100850886913209
1844,0.013482466810971
1840,0.0168459536450632
1836,0.0175043369887566
1832,0.0183907250872889
1828,0.0216731548317262
1824,0.0240684368847427
1820,0.0236370304099728
1816,0.0234673156747727
1812,0.0254052506523576
1808,0.02709334236403
1804,0.0272387315174221
1800,0.028330573067809
1796,0.0321971059729287
1792,0.0364974969837128
1788,0.0396814603748318
1784,0.0445870869313381
1780,0.0538986681909005
1776,0.0662916984524165
1772,0.0795654946905367
1768,0.0934182345546906
1764,0.107059993011897
1760,0.119058645052701
1756,0.132078957062365
1752,0.155503588078078
1748,0.201198244246001
1744,0.280916844840075
1740,0.418935742220601
1736,0.648056551574583
1732,0.940126346553228
1728,1.17596130678136
1724,1.2251126775801
1720,0.97536193695828
1716,0.664374745361744
1712,0.46588181023872
1708,0.358899666751714
1704,0.292747734400799
1700,0.244128764666715
1696,0.21435185424168
1692,0.198845569605017
1688,0.182933555831126
1684,0.159300681163186
1680,0.135080203610574
1676,0.118084840314183
1672,0.107261618959676
1668,0.100051316799533
1664,0.0972389961990184
1660,0.0985606291949731
1656,0.10052683773557
1652,0.101703515409999
1648,0.110809823762544
1644,0.140589068490046
1640,0.195131121375142
1636,0.262415075167611
1632,0.309909323639028
1628,0.314346762127587
1624,0.28738663602832
1620,0.247979563801671
1616,0.204873296320756
1612,0.163424475585379
1608,0.129582642314876
1604,0.106880040304113
1600,0.0930895586906961
1596,0.0816934953705147
1592,0.0698380400420809
1588,0.0624174178736297
1584,0.0639346460583361
1580,0.0709787873548782
1576,0.0750051511992802
1572,0.0719682755523387
1568,0.0661837818319198
1564,0.0618392884744825
1560,0.0589925120982058
1556,0.0573948224205118
1552,0.0576085171498927
1548,0.0585067436003897
1544,0.0583165155773321
1540,0.057291096397448
1536,0.0574934718822716
1532,0.0588378618301572
1528,0.0605307307831206
1524,0.0639099491908067
1520,0.0693631133240605
1516,0.0728211781100144
1512,0.0727154088312915
1508,0.0774960452988128
1504,0.0980010913196637
1500,0.129968084176422
1496,0.154372647766367
1492,0.152694234181576
1488,0.127706593904543
1484,0.104121490968538
1480,0.097154694885546
1476,0.106081540728255
1472,0.12438225109968
1468,0.145786141490572
1464,0.170638824727525
1460,0.204970441883412
1456,0.252710515816272
1452,0.313036347119994
1448,0.391685311291188
1444,0.499018141455762
1440,0.608024530491977
1436,0.620528072112183
1432,0.529546891658951
1428,0.435805037000992
1424,0.378512150444683
1420,0.361577158127013
1416,0.390007463241795
1412,0.467718619143714
1408,0.580987244593233
1404,0.664176574174167
1400,0.619855265485285
1396,0.476752451717034
1392,0.337004885360087
1388,0.241311904640508
1384,0.184629240742941
1380,0.149896966445657
1376,0.124497174198742
1372,0.104319944328525
1368,0.0894359643970344
1364,0.0798327721109338
1360,0.0756526069191873
1356,0.0773136022377163
1352,0.0836118308691151
1348,0.0921590454745102
1344,0.102007788092995
1340,0.114352696070887
1336,0.130311409323322
1332,0.149141286696366
1328,0.170296847398333
1324,0.196616213900227
1320,0.233548186662504
1316,0.284287635995935
1312,0.345416810266189
1308,0.408081378301257
1304,0.465469234781619
1300,0.51763545545132
1296,0.568592495963224
1292,0.625061943812184
1288,0.697943746161682
1284,0.792701278098105
1280,0.878338815375271
1276,0.869467083284711
1272,0.736554806835318
1268,0.562707964562426
1264,0.41541373796366
1260,0.315768772586693
1256,0.260945027207926
1252,0.237030863514114
1248,0.229495474451931
1244,0.23122718058194
1240,0.2428385013108
1236,0.267511883688125
1232,0.308911435915897
1228,0.374236410763794
1224,0.476162988361645
1220,0.627487277913527
1216,0.829759527234751
1212,1.06087071676675
1208,1.26090536356849
1204,1.32966891299902
1200,1.23554729425155
1196,1.0948252046086
1192,1.00585564312521
1188,0.983631833454273
1184,0.975715548089903
1180,0.896971573296953
1176,0.741874721721468
1172,0.578711597791693
1168,0.448184056537668
1164,0.355772347413974
1160,0.292867741001671
1156,0.249011040144532
1152,0.217442884922784
1148,0.195209178709458
1144,0.180491500998068
1140,0.170819085924736
1136,0.163360500795532
1132,0.156100502931697
1128,0.148559817485302
1124,0.14168110173338
1120,0.137167997948438
1116,0.136385007364831
1112,0.139322109115607
1108,0.144845830754165
1104,0.152314362059029
1100,0.163103990351594
1096,0.180628521839418
1092,0.209085620589982
1088,0.253014700080951
1084,0.318977278951116
1080,0.417719554794363
1076,0.564040915312662
1072,0.772659418724306
1068,1.0455008412996
1064,1.33624143375592
1060,1.51318089149379
1056,1.49416324507114
1052,1.35464836416164
1048,1.17410911837638
1044,0.995175830794063
1040,0.839721694734247
1036,0.720968030983554
1032,0.646782545890233
1028,0.617513231461024
1024,0.623677084245634
1020,0.644932972272563
1016,0.659142959319477
1012,0.662537100599733
1008,0.672430042841487
1004,0.707140714529395
1000,0.773027944256057
996,0.861689425773165
992,0.943323525720496
988,0.971936269049324
984,0.934388259789717
980,0.86883145077475
976,0.809717642161812
972,0.76132276088413
968,0.71228738443208
964,0.657882809868419
960,0.607922643340691
956,0.572067187622603
952,0.542372541562335
948,0.50021903245244
944,0.444289598345295
940,0.396614973201805
936,0.379416777542012
932,0.398548684705991
928,0.441253774284218
924,0.48542362907532
920,0.516358583589072
916,0.52780600919128
912,0.510416609520457
908,0.46038985852869
904,0.394013221539059
900,0.332632315582493
896,0.28408696968737
892,0.245001670844173
888,0.211133662500376
884,0.18264934734812
880,0.162530021636084
876,0.153081059383514
872,0.155887907947601
868,0.175192659175711
864,0.217930097850721
860,0.286362750601285
856,0.365650952427774
852,0.416122856181362
848,0.402363310941338
844,0.343860173909137
840,0.284190510407332
836,0.243580362404156
832,0.227235118113089
828,0.24373781005017
824,0.30804644933503
820,0.431595947144716
816,0.596357735698092
812,0.706088322241807
808,0.653100263985956
804,0.50541648978095
800,0.374736470505528
796,0.309524258321692
792,0.319224376093802
788,0.398451576199691
784,0.526016047833417
780,0.61796523117807
776,0.564649019693889
772,0.418466476676636
768,0.287336544387534
764,0.207680815334409
760,0.166957774686765
756,0.143121748417887
752,0.127368232738753
748,0.121058762165272
744,0.12030709957636
740,0.118471236791576
736,0.118066659667889
732,0.125447548252135
728,0.138679322634239
724,0.154930430617664
720,0.183958062915715
716,0.242247638399799
712,0.332950392149179
708,0.463987899272177
704,0.584399487280269
700,0.593350554514552
696,0.53221899496743
692,0.461386476158322
688,0.35704920876453
684,0.266866181813282
680,0.218185267148682
676,0.182467186570227
672,0.150567064190859
668,0.187312118780058
664,0.245800473252294
660,0.134001564807241
656,0.0451876224179215
652,0.0397887283772356
648,0.0655132954404821
