Wavenumbercm-1,01:22:21
4000,-0.0154425125681407
3996,-0.0157236080125428
3992,-0.0156755175143347
3988,-0.0156473771606242
3984,-0.0157496503283078
3980,-0.0157624396965275
3976,-0.0155896836723965
3972,-0.015471320954802
3968,-0.0156357147845743
3964,-0.0159803378096579
3960,-0.0162229791801246
3956,-0.0161721466280333
3952,-0.0157654275579339
3948,-0.0151066449511596
3944,-0.014525772159812
3940,-0.0143680430466127
3936,-0.0146207321925855
3932,-0.0148472764056134
3928,-0.0146754416180139
3924,-0.0142534797071276
3920,-0.0140443845998028
3916,-0.0142246971443777
3912,-0.0145236645322484
3908,-0.0146929294439635
3904,-0.0147710399195003
3900,-0.0148286563301341
3896,-0.0147252731649066
3892,-0.0144059025733025
3888,-0.0141852724906309
3884,-0.0143848523508786
3880,-0.0147474556078293
3876,-0.0147142713528218
3872,-0.0142510617340414
3868,-0.0138814112262028
3864,-0.0138023912345704
3860,-0.0135864052549568
3856,-0.0130555137982185
3852,-0.0127284973724398
3848,-0.0128537062074898
3844,-0.0128111195734796
3840,-0.0122249247207209
3836,-0.0117816674893833
3832,-0.0122575325921576
3828,-0.0131328381355926
3824,-0.0135210464947952
3820,-0.0135085353131032
3816,-0.0138519740392188
3812,-0.0145564999826779
3808,-0.0150229093141816
3804,-0.0152439329858447
3800,-0.015822330515218
3796,-0.0167784759421688
3792,-0.0174207007342616
3788,-0.0175063508750451
3784,-0.0173075860237017
3780,-0.0169093800074259
3776,-0.016041536939087
3772,-0.0148720033573233
3768,-0.0142930511577919
3764,-0.0147106734953146
3760,-0.015179517317015
3756,-0.0145673177887632
3752,-0.0129405376416735
3748,-0.0116291544159501
3744,-0.0114762192743426
3740,-0.0118954628728002
3736,-0.0123347933940654
3732,-0.0128729176757516
3728,-0.0134562610385493
3724,-0.01376887184892
3720,-0.0136980407812473
3716,-0.0133970700786767
3712,-0.0131214542814635
3708,-0.0130632629486078
3704,-0.0131133112858904
3700,-0.0128633717278232
3696,-0.0121511554333804
3692,-0.011583024254003
3688,-0.0120096032871075
3684,-0.0130633011000138
3680,-0.0133024688826809
3676,-0.0121849779063926
3672,-0.0112668667785348
3668,-0.0122362828545118
3664,-0.0141152403116921
3660,-0.0151796766043042
3656,-0.0151138800949346
3652,-0.0150211491043032
3648,-0.0161245669608132
3644,-0.0180155328161271
3640,-0.019446284902053
3636,-0.019871081690738
3632,-0.0194469683221434
3628,-0.0187417204119717
3624,-0.0183697073336119
3620,-0.0184162833370296
3616,-0.0187122970772447
3612,-0.0194440937177221
3608,-0.0208817220902074
3604,-0.0226679042307349
3600,-0.0239230878978314
3596,-0.024141759133396
3592,-0.0237357855430862
3588,-0.0236878508774876
3584,-0.024312179181867
3580,-0.0250103229172293
3576,-0.0252997565500348
3572,-0.0254002559853828
3568,-0.0257791011585167
3564,-0.0263788891018617
3560,-0.0267358445967245
3556,-0.026836460553524
3552,-0.0271911409218801
3548,-0.0280606619424471
3544,-0.028985461656775
3540,-0.0294129720102844
3536,-0.0295702820269011
