Wavenumbercm-1,00:50:10
4000,0.0081886718595391
3996,0.00777386232624519
3992,0.00717077019681643
3988,0.00665127572788786
3984,0.00654060935082583
3980,0.00669575135631738
3976,0.00673155724727805
3972,0.00656679361392488
3968,0.00629277035947732
3964,0.00582334834392098
3960,0.00521911995511627
3956,0.00501576895188681
3952,0.00557582600716267
3948,0.00630915127040803
3944,0.00627342088214938
3940,0.00543642586126696
3936,0.00466573141991985
3932,0.00467804902274342
3928,0.00549005958120353
3924,0.00668552470671457
3920,0.00765648584584613
3916,0.00791599351663177
3912,0.00763282927429176
3908,0.00744563785708017
3904,0.00763265095168892
3900,0.0077686712486152
3896,0.00755814209720222
3892,0.00736954113586857
3888,0.00736019781737044
3884,0.0071396820350129
3880,0.00675539945737528
3876,0.00699404449379057
3872,0.00802970700076522
3868,0.00877236177181448
3864,0.00850762041882
3860,0.00808900051938148
3856,0.00837000153170947
3852,0.0087214382357651
3848,0.00839090215069523
3844,0.00812796954050004
3840,0.00865486543482456
3836,0.00914993384652335
3832,0.00859441845439646
3828,0.00781283210836941
3824,0.00798400921181538
3820,0.00854384212738357
3816,0.00810918087501235
3812,0.00711529838716869
3808,0.00687435218797545
3804,0.00707937380552688
3800,0.00623205554458993
3796,0.00440177094969503
3792,0.00312039395795505
3788,0.00275287041176381
3784,0.00259244089434796
3780,0.00250595295191709
3776,0.0031516852325392
3772,0.00439196151661269
3768,0.00494942757014926
3764,0.00431551160046082
3760,0.00371906178299534
3756,0.00441308272159472
3752,0.00617287476063781
3748,0.00752923615571307
3744,0.00756988983201161
3740,0.00683547849524926
3736,0.00626140593433717
3732,0.00642067913280048
3728,0.00708239497438086
3724,0.00733817495819325
3720,0.00691092911938152
3716,0.00676339891348211
3712,0.00778901344540869
3708,0.00925162820792255
3704,0.00971131949140184
3700,0.00921693525348391
3696,0.0088211108780053
3692,0.00882150589930243
3688,0.00880302768355373
3684,0.00883447890227567
3680,0.00913916692261883
3676,0.00891414610374827
3672,0.00711413191705612
3668,0.00481938109645516
3664,0.00399279504424828
3660,0.00476411077632384
3656,0.00624774421277318
3652,0.00739154250527951
3648,0.00714409827351979
3644,0.00526914633466506
3640,0.00278394175954947
3636,0.00117080560489984
3632,0.00106903114447597
3628,0.00141279331961073
3624,0.000828538102457765
3620,-0.00015568733834596
3616,-0.000469957542705201
3612,-0.000740283302732201
3608,-0.00209946873383963
3604,-0.00387487078386197
3600,-0.00464349308764544
3596,-0.00445576182991954
3592,-0.00441562872211868
3588,-0.00487285567455406
3584,-0.0052761939974593
3580,-0.00555408136719483
3576,-0.00589174746956763
3572,-0.00597783633652298
3568,-0.00573002713959334
3564,-0.00604180120849311
3560,-0.00729649835076549
3556,-0.00826936851535128
3552,-0.00810818517834424
3548,-0.00786189630967774
3544,-0.00881294881665468
3540,-0.0101265856342616
3536,-0.0101963312429516
3532,-0.0092253942196399
3528,-0.00863739387744083
3524,-0.00884469362915389
3520,-0.0092234517676321
3516,-0.00986184015048632
3512,-0.0112010986042358
3508,-0.0125900328304351
3504,-0.0129495107220819
3500,-0.0125100201239652
3496,-0.0123078790464632
3492,-0.0125121270279582
3488,-0.0127491240960291
3484,-0.0132870935433243
3480,-0.0143452903616871
