Wavenumbercm-1,01:04:50
4000,-0.0031116503176583
3996,-0.00352175297046684
3992,-0.00431062882823316
3988,-0.00520826050340196
3984,-0.0058745603763805
3980,-0.00629129320021563
3976,-0.00660463792006922
3972,-0.00673638793811057
3968,-0.00650088257524384
3964,-0.00602995982141327
3960,-0.00565867614523573
3956,-0.0054476878158851
3952,-0.00519546464698315
3948,-0.00488149458379809
3944,-0.00476083978788338
3940,-0.00493317655323194
3936,-0.00510569097828796
3932,-0.00486386465193685
3928,-0.00409748273997446
3924,-0.00318087269667828
3920,-0.00276450324772205
3916,-0.00311317886290038
3912,-0.00366814386278457
3908,-0.00362879306602887
3904,-0.00292435035210575
3900,-0.00248039333137167
3896,-0.00291708671312684
3892,-0.0036360555558131
3888,-0.00387712939396488
3884,-0.00362296495939345
3880,-0.00319692279541577
3876,-0.0025530226351177
3872,-0.00165264513083424
3868,-0.00104528249655901
3864,-0.00118261276475481
3860,-0.00164414517261284
3856,-0.00184779629939088
3852,-0.00188401958203455
3848,-0.00196762786028437
3844,-0.00169509729323285
3840,-0.000848618784640066
3836,-0.000196529925149597
3832,-0.000517803631367874
3828,-0.00118176055359923
3824,-0.00131606758937582
3820,-0.00132754208732248
3816,-0.00216683162738378
3812,-0.00343547150301861
3808,-0.00405107178261879
3804,-0.00401070396647216
3800,-0.00428602605800639
3796,-0.00512466602268568
3792,-0.00578769720399999
3788,-0.00607499873616168
3784,-0.00634885499508424
3780,-0.00647311998328007
3776,-0.00580629650224012
3772,-0.004522798966147
3768,-0.00388962139175006
3764,-0.00451805872487426
3760,-0.00525208783185637
3756,-0.00470313426356188
3752,-0.00290663563913516
3748,-0.00129043032815847
3744,-0.00086752073576662
3740,-0.00128652569423338
3736,-0.00202540258063298
3732,-0.00289466423498259
3728,-0.00366362439489909
3724,-0.00415888004680444
3720,-0.00437739646034869
3716,-0.00421499905535042
3712,-0.00349960000256268
3708,-0.00247030642284989
3704,-0.00165704144328147
3700,-0.00121800537492125
3696,-0.000992587404247796
3692,-0.00102440521721455
3688,-0.00143441083497079
3684,-0.00192586885384406
3680,-0.0021190066783648
3676,-0.00217874440116102
3672,-0.00261245231396206
3668,-0.00328371308260253
3664,-0.0036307906012587
3660,-0.0038024292523373
3656,-0.00425673136098597
3652,-0.00496411178124004
3648,-0.00557467893641637
3644,-0.00629022971723388
3640,-0.00747931508725237
3636,-0.00874664639874089
3632,-0.00918606553035711
3628,-0.00863872459093634
3624,-0.00813876582422467
3620,-0.00835394700936985
3616,-0.00888026389784251
3612,-0.00945855434250786
3608,-0.010456616559091
3604,-0.0119792886682501
3600,-0.0135041046573695
3596,-0.0145328573615539
3592,-0.0149263745482612
3588,-0.0148715917808535
3584,-0.0147365910751472
3580,-0.0149515327333599
3576,-0.0155680048470884
3572,-0.0162049486715725
3568,-0.0165095810183418
3564,-0.0165360407319267
3560,-0.016542057357339
3556,-0.0165690907941592
3552,-0.0167236084842002
3548,-0.0173851970731948
3544,-0.0185200398938304
3540,-0.0193236884623732
3536,-0.0193377206651413
3532,-0.0192114893542266
3528,-0.0198652144249612
3524,-0.0212419070800321
3520,-0.0224071102578409
3516,-0.0227304891337559
3512,-0.0222625100606166
3508,-0.0214823322857672
3504,-0.0210882661584391
3500,-0.021639590468872
3496,-0.0228802295444174
3492,-0.0238725998791687
3488,-0.0241908254347271
3484,-0.0243646572946272
3480,-0.0248410712726701
3476,-0.0252724979392284
3472,-0.025286388054704
3468,-0.0251610120005675
3464,-0.0251290293740523
3460,-0.0248065507831602
3456,-0.023913734595931
3452,-0.0227808604615184
3448,-0.0215605688673817
3444,-0.0197838238739115
3440,-0.0175454238869511
3436,-0.0162682029528252
3432,-0.017121925767383
3428,-0.0193112269225478
3424,-0.0210904817951524
3420,-0.0219283846518239
3416,-0.0224558403497294
3412,-0.0228388420751287
